,ts,side,price,quantity
3456,1619199612985007,buy,1652.9435483870968,0.05724
3457,1619199612986683,buy,1652.9435483870968,0.26676
3458,1619199613026608,buy,1652.9435483870968,0.01674
3459,1619199613027126,buy,1652.9435483870968,0.21276
3460,1619199613027708,buy,1652.9435483870968,0.05724
3461,1619199613039764,buy,1652.9435483870968,0.03402
3462,1619199613041723,buy,1652.9435483870968,0.01674
3463,1619199613076162,buy,1652.9435483870968,0.0324
3464,1619199613077844,buy,1652.9435483870968,0.02268
3465,1619199613080481,buy,1652.9435483870968,0.01674
3466,1619199613122987,sell,1652.9432258064514,0.0999
3467,1619199613124608,sell,1652.9432258064514,0.65394
3468,1619199613151157,buy,1652.9435483870968,0.0183599999999999
3469,1619199613165138,buy,1652.9435483870968,0.02808
3470,1619199613235394,buy,1652.9435483870968,10.8027
3471,1619199613336563,buy,1652.9435483870968,5.508
3472,1619199613361809,buy,1652.9435483870968,0.1296
3473,1619199613363407,buy,1652.9435483870968,0.02538
3474,1619199613401453,sell,1652.9432258064514,0.108
3475,1619199613431928,buy,1652.9435483870968,4.0257000000000005
3476,1619199613431929,sell,1652.9432258064514,0.108
3477,1619199613472372,buy,1652.9435483870968,0.01188
3478,1619199613523473,buy,1652.9435483870968,1.97316
3479,1619199613523474,buy,1652.9435483870968,1.90242
3480,1619199613575886,buy,1652.9435483870968,0.35316
3481,1619199613737500,sell,1652.9432258064514,0.21006
3482,1619199613737500,sell,1652.9432258064514,0.0599399999999999
3483,1619199613737501,sell,1652.9432258064514,0.01404
3484,1619199613761022,sell,1652.9432258064514,0.108
3485,1619199613933213,buy,1652.9435483870968,0.3779999999999999
3486,1619199613955350,buy,1652.9435483870968,1.07676
3487,1619199613957978,sell,1652.9432258064514,0.054
3488,1619199613957979,sell,1652.9432258064514,0.0432
3489,1619199613957979,sell,1652.9432258064514,0.87804
3490,1619199613957980,sell,1652.94,0.0783
3491,1619199613958024,sell,1652.9393548387095,1.35
3492,1619199613958242,sell,1652.9390322580646,0.26244
3493,1619199613958252,sell,1652.9274193548388,0.01296
3494,1619199613958305,sell,1652.9170967741936,2.4948
3495,1619199613958306,sell,1652.9167741935482,0.0124199999999999
3496,1619199613958438,sell,1652.9032258064517,0.02268
3497,1619199613958441,sell,1652.8693548387096,0.06588
3498,1619199613958442,sell,1652.8219354838711,0.02916
3499,1619199613958442,sell,1652.8151612903223,0.03402
3500,1619199613960534,sell,1652.8145161290322,0.0599399999999999
3501,1619199613960544,sell,1652.8064516129032,0.189
3502,1619199613960544,buy,1652.9435483870968,0.01188
3503,1619199613977601,sell,1652.8064516129032,0.0091799999999999
3504,1619199613977602,sell,1652.8064516129032,0.0124199999999999
3505,1619199613977603,sell,1652.8029032258064,0.98766
3506,1619199614026521,buy,1652.8032258064516,0.5200199999999999
3507,1619199614027497,buy,1652.8032258064516,0.02106
3508,1619199614068446,buy,1652.8032258064516,0.05724
3509,1619199614071476,buy,1652.8032258064516,0.18954
3510,1619199614118684,sell,1652.8029032258064,0.09234
3511,1619199614118691,sell,1652.783870967742,0.03996
3512,1619199614118700,sell,1652.7609677419357,0.1377
3513,1619199614123186,buy,1652.8032258064516,0.08964
3514,1619199614159925,buy,1652.8032258064516,6.915239999999999
3515,1619199614164521,buy,1652.8032258064516,0.45738
3516,1619199614215578,buy,1652.8032258064516,5.24988
3517,1619199614216191,buy,1652.9429032258065,2.43324
3518,1619199614224396,sell,1652.8029032258064,0.108
3519,1619199614240969,buy,1652.8032258064516,0.04536
3520,1619199614283633,sell,1652.8029032258064,0.02538
3521,1619199614290380,sell,1652.7609677419357,0.2068199999999999
3522,1619199614290382,sell,1652.741935483871,1.25604
3523,1619199614290391,sell,1652.7251612903226,2.17296
3524,1619199614290395,sell,1652.7167741935484,0.01188
3525,1619199614295683,sell,1652.701612903226,0.1101599999999999
3526,1619199614305359,sell,1652.6906451612904,0.1377
3527,1619199614310310,sell,1652.679677419355,0.09612
3528,1619199614310341,sell,1652.6732258064517,0.09774
3529,1619199614310607,sell,1652.646451612903,0.0351
3530,1619199614310608,sell,1652.646451612903,0.01188
3531,1619199614311241,sell,1652.6187096774197,0.06264
3532,1619199614328232,buy,1652.6190322580646,0.02592
3533,1619199614330185,buy,1652.6190322580646,1.41858
3534,1619199614334615,buy,1652.6190322580646,0.3779999999999999
3535,1619199614342430,buy,1652.6190322580646,0.13824
